File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019144002657_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-05-24 00:26:57 UTC,04993,005,0601,True,237631.0,16.9177513,120.77771,"(16.9177513,120.77771)",48.7613602,8.1416159,66.2859089,54.720768,74.9081345,50.7927246,21.167738,41.2306938
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019144002749_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-05-24 00:27:49 UTC,04993,006,0601,True,503450.0,0.1006995,104.0572968,"(0.1006995,104.0572968)",27.9465771,10.7250452,115.0265946,33.6922808,53.7390137,27.3138781,0.3344814,20.327538
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019146233557_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-05-26 23:35:57 UTC,05039,006,0601,True,160123.0,0.1359575,125.5823059,"(0.1359575,125.5823059)",29.273159,12.6757164,160.6737863,37.234787,60.7505951,27.5982914,0.1359575,21.5508318
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019150215448_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-05-30 21:54:48 UTC,05100,006,0601,True,225121.0,28.740448,153.0813904,"(28.740448,153.0813904)",70.0837402,16.5200443,272.9118646,82.3855057,121.5937042,69.1438904,28.740448,56.2372169
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019153210257_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-02 21:02:57 UTC,05146,006,0601,True,149059.0,0.0936985,190.3107452,"(0.0936985,190.3107452)",29.8920269,28.8241081,830.8292091,34.3048477,68.0820465,20.52948,0.0936985,11.7852778
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019157192149_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-06 19:21:49 UTC,05207,006,0601,True,40701.0,76.8349686,195.6832123,"(76.8349686,195.6832123)",127.8239136,13.0740595,170.9310315,132.5385895,151.6572876,125.7920227,100.6775894,119.788269
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019158183142_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-07 18:31:42 UTC,05222,007,0601,True,276677.0,43.7516708,272.5890198,"(43.7516708,272.5890198)",86.6665649,26.02845,677.48021,100.2146606,149.4253998,83.7371597,43.7516708,67.3864822
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019158183234_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-07 18:32:34 UTC,05222,008,0601,True,10698.0,10.2426128,92.2049179,"(10.2426128,92.2049179)",43.9893341,10.706645,114.6322474,50.5305977,69.6165543,44.2013779,18.73312,37.7574749
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019159010102_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-08 01:01:02 UTC,05226,005,0601,True,624777.0,0.1866415,93.7034988,"(0.1866415,93.7034988)",30.1016884,9.7722731,95.4973208,34.5417252,50.6150627,28.6107769,7.7543993,23.8260498
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019161174020_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-10 17:40:20 UTC,05268,006,0601,True,708992.0,4.5943098,1793.6578369,"(4.5943098,1793.6578369)",121.2226257,36.5937767,1339.1044934,142.7494087,214.7749939,114.6970177,22.9351673,94.7322865
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019162000912_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-11 00:09:12 UTC,05272,005,0601,True,67515.0,14.6440001,50.7240791,"(14.6440001,50.7240791)",29.0624008,5.6602774,32.0387399,32.7596912,44.3881187,28.6575089,14.6440001,25.0073891
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019162001004_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-11 00:10:04 UTC,05272,006,0601,True,661691.0,7.7163372,1937.9987793,"(7.7163372,1937.9987793)",19.2174664,10.1502171,103.0269063,21.1870785,29.3749466,18.0078812,7.7163372,15.7283745
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019169141711_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-18 14:17:11 UTC,05390,007,0601,True,179438.0,46.2979698,303.1498108,"(46.2979698,303.1498108)",87.4570923,19.9204788,396.8254764,94.7208652,124.5380554,84.1359329,46.2979698,74.8392944
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019169141803_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-18 14:18:03 UTC,05390,008,0601,True,246050.0,4.3097515,239.95755,"(4.3097515,239.95755)",82.7238846,26.5195389,703.2859424,93.710495,136.2418671,78.227478,23.3164349,65.3557739
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019169204636_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-18 20:46:36 UTC,05394,006,0601,True,177271.0,1.8476795,217.8936615,"(1.8476795,217.8936615)",51.6028404,25.1427765,632.1592096,64.9398193,112.2925186,51.6829071,1.8476795,33.367012
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019169204728_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-18 20:47:28 UTC,05394,007,0601,True,1193.0,56.9363403,182.2041321,"(56.9363403,182.2041321)",89.3330231,24.6117878,605.7400985,98.2277298,133.3028107,81.0669937,56.9363403,74.0820541
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019172132554_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-21 13:25:54 UTC,05436,007,0601,True,6920.0,18.6282063,101.6158676,"(18.6282063,101.6158676)",63.2746849,17.1032543,292.5213083,77.8664055,101.6158676,64.7917404,18.6282063,52.2726688
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019176181315_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-25 18:13:15 UTC,05501,006,0601,True,73436.0,50.2450142,277.6536865,"(50.2450142,277.6536865)",102.8012085,20.2781773,411.204473,112.8236599,148.3634796,99.8571014,58.2366791,89.1163387
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2019176181407_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2019-06-25 18:14:07 UTC,05501,007,0601,True,647124.0,26.1274242,307.3634644,"(26.1274242,307.3634644)",105.8614426,26.5358772,704.1527802,120.6960526,170.4531097,103.1532974,37.818882,87.5238037
