File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,4
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019235_aid0001,aid0001,2019-08-23 18:44:26+00:00,06417,006,0601,True,710716,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019235_aid0001,aid0001,2019-08-23 18:45:18+00:00,06417,007,0601,True,1126,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019242_aid0001,aid0001,2019-08-30 16:16:52+00:00,06524,006,0601,True,262699,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019243_aid0001,aid0001,2019-08-31 15:28:05+00:00,06539,006,0601,True,713424,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019246_aid0001,aid0001,2019-09-03 14:38:27+00:00,06585,006,0601,True,709345,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019247_aid0001,aid0001,2019-09-04 13:49:41+00:00,06600,005,0601,True,708900,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019250_aid0001,aid0001,2019-09-07 12:59:50+00:00,06646,006,0601,True,13430,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019250_aid0001,aid0001,2019-09-07 13:00:42+00:00,06646,007,0601,True,704028,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019251_aid0001,aid0001,2019-09-08 12:11:17+00:00,06661,006,0601,True,130801,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019272_aid0001,aid0001,2019-09-29 21:34:00+00:00,06993,006,0601,True,712712,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019279_aid0001,aid0001,2019-10-06 19:07:48+00:00,07100,006,0601,True,437511,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019280_aid0001,aid0001,2019-10-07 18:18:40+00:00,07115,005,0601,True,430626,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019291_aid0001,aid0001,2019-10-18 14:14:57+00:00,07283,006,0601,True,712000,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019291_aid0001,aid0001,2019-10-18 20:44:28+00:00,07287,006,0601,True,713424,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019292_aid0001,aid0001,2019-10-19 19:55:54+00:00,07302,006,0601,True,712758,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019295_aid0001,aid0001,2019-10-22 12:37:41+00:00,07344,006,0601,True,712712,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019296_aid0001,aid0001,2019-10-23 18:18:18+00:00,07363,006,0601,True,488475,32593.0,
