DateTime,PT Tower,ET Tower,PT-JPL ET,DisALEXI ET
2019-01-01,0.20375027438389154,,0.228,0.403
2019-01-02,0.14026882982548694,1.227486126677801,0.223,0.406
2019-01-03,0.7978364253522705,1.1424959267089931,0.393,0.735
2019-01-04,0.2681498587111694,0.0512709911116023,0.384,0.74
2019-01-05,0.9386867523563418,0.8328416858880098,0.626,1.242
2019-01-06,0.72644935661002,1.2827974736125998,0.57,1.167
2019-01-07,-0.311548864464986,0.8921657254769397,0.471,0.995
2019-01-08,0.77780742789853,4.758717370353713,0.388,0.844
2019-01-09,0.6466119758674804,2.31364276332761,0.416,0.935
2019-01-10,0.6531366985631166,0.5501861846048088,0.294,0.684
2019-01-11,0.38452488339368673,0.6292918440721149,0.251,0.603
2019-01-12,0.6401343874113101,0.3046400226164572,0.139,0.347
2019-01-13,0.641952210225474,0.384139453807364,0.034,0.087
2019-01-14,1.1382634518416639,,0.066,0.175
2019-01-15,0.6323154762158294,,0.255,0.706
2019-01-16,0.4593605330087187,,0.247,0.711
2019-01-17,0.7670997474548439,1.0141948357949149,0.18,0.536
2019-01-18,0.6110001843102355,0.3893595387745726,0.203,0.63
2019-01-19,0.5579632641875842,,0.028,0.09
2019-01-20,0.38691799997193,,0.081,0.273
2019-01-21,0.5465499864270438,0.554702515260082,0.156,0.55
2019-01-22,0.41960977217362677,,0.275,1.014
2019-01-23,0.5020388568876049,,0.144,0.556
2019-01-24,0.022101810286385647,0.7239021235884878,0.069,0.28
2019-01-25,0.49165012171166805,0.8737910219381396,0.11,0.469
2019-01-26,0.6170698318753025,,0.042,0.189
2019-01-27,0.6914096341791888,0.3113284602825593,0.181,0.854
2019-01-28,0.3736596686445021,3.736308958867148,0.15,0.75
2019-01-29,0.579673665160768,1.2907960410686024,0.036,0.192
2019-01-30,0.6550201699831811,0.698921462773854,0.051,0.29
2019-01-31,0.5716427507988511,0.5260642047902352,0.065,0.388
2019-02-01,0.8952369474810068,0.2157615410710938,0.101,0.648
2019-02-02,1.301227527740965,,0.204,1.412
2019-02-03,1.5128375563291407,-0.3574019591486347,0.278,2.075
2019-02-04,0.3614978089148096,,0.054,0.439
2019-02-05,0.49320791847358,1.744424748079462,0.075,0.663
2019-02-06,0.4579119167851872,,0.057,0.555
2019-02-07,0.20682274586324625,,0.031,0.335
2019-02-08,0.6623253157021533,1.9387701748937447,0.11,1.347
2019-02-09,1.140871482029056,1.2794408572258371,0.09,1.257
2019-02-10,0.4923393056254761,,0.073,1.009
2019-02-11,0.07879939039350947,,0.058,0.795
2019-02-12,,,0.024,0.332
2019-02-13,,,0.122,1.663
2019-02-14,2.7575316036791615,,0.081,1.091
2019-02-15,0.42755039545564694,2.5586852952184325,0.081,1.083
2019-02-16,1.0654812927763984,1.7129391077672924,0.097,1.291
2019-02-17,0.43573948818222535,,0.032,0.427
2019-02-18,0.8302879799172515,1.077792631976816,0.048,0.636
2019-02-19,0.9246582384711128,1.366964829130429,0.081,1.053
2019-02-20,0.5821984224817128,,0.097,1.254
2019-02-21,1.0130596828812337,1.221209226458835,0.105,1.349
2019-02-22,1.9545816561648595,2.582997421088524,0.145,1.854
2019-02-23,0.5049265615025184,0.5360772806994727,0.088,1.125
2019-02-24,-0.5396059858224025,,0.04,0.507
2019-02-25,,,0.129,1.612
2019-02-26,,,0.219,2.079
2019-02-27,0.7878586130500487,,0.102,0.778
2019-02-28,0.5623048187398231,1.593660620893873,0.212,1.338
2019-03-01,1.6531205255607115,1.6329197929274233,0.313,1.675
2019-03-02,0.7403184898089998,1.1808811671823871,0.293,1.354
2019-03-03,0.570140650211685,0.7482565494435536,0.14,0.57
2019-03-04,0.8966484699860906,0.8281416948119837,0.233,0.838
2019-03-05,0.8620144874544329,1.2917765779987822,0.288,0.926
2019-03-06,1.4205696557201548,1.863361178181746,0.406,1.176
2019-03-07,0.7181073546184898,0.7719630218448844,0.338,0.89
2019-03-08,1.6360743484028273,0.9745633312730816,0.502,1.203
2019-03-09,0.2640942548072327,2.3112413667089418,0.773,1.695
2019-03-10,1.4720374775507152,3.2493656330629217,0.776,1.564
