,JdayFFP25,JdayET1,JdayETg,AlexiFFP25,AlexiET1,AlexiETg,JinstFFP25,JinstET1,JinstETg
KGE,-0.30,-0.42,-0.52,0.45,0.42,0.59,0.13,0.15,0.14
corr,0.00,0.04,-0.06,0.52,0.50,0.69,0.20,0.25,0.20
alpha,1.63,1.76,1.76,1.04,1.04,0.86,0.89,0.91,0.93
beta,1.55,1.71,1.78,0.73,0.72,0.78,1.31,1.38,1.31
NSE,-4.03,-5.14,-5.65,-0.30,-0.36,0.30,-0.55,-0.52,-0.58
RMSE,4.48,4.96,5.71,2.28,2.33,1.85,159.23,154.05,176.23
