,JdayFFP25,JdayET1,JdayETg,AlexiFFP25,AlexiET1,AlexiETg,JinstFFP25,JinstET1,JinstETg
KGE,-1.47,-1.67,-1.66,0.10,0.13,0.19,0.13,0.15,0.14
corr,-0.04,0.04,0.02,0.48,0.46,0.48,0.20,0.25,0.25
alpha,2.70,2.83,2.75,1.72,1.67,1.60,0.89,0.91,0.90
beta,2.46,2.69,2.74,1.16,1.13,1.16,1.31,1.38,1.41
NSE,-17.94,-20.66,-21.16,-1.38,-1.28,-1.12,-0.55,-0.52,-0.53
RMSE,5.27,5.80,5.87,1.87,1.88,1.81,159.23,154.05,154.60
