File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020159174839_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-07 17:48:39 UTC,10898,006,0601,True,709468.0,2.293788,285.3400574,"(2.293788,285.3400574)",96.5842209,33.325367,1110.5800839,111.8202133,168.5875092,89.5111389,17.2430458,73.9750423
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020160001753_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-08 00:17:53 UTC,10902,009,0601,True,675899.0,38.7449532,137.0888214,"(38.7449532,137.0888214)",59.9724998,5.4076867,29.2430756,62.7866821,71.7727051,59.6094551,47.8088913,56.795393
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020160001845_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-08 00:18:45 UTC,10902,010,0601,True,49577.0,33.5261497,134.8015137,"(33.5261497,134.8015137)",49.1896248,5.4712806,29.9349111,51.7733765,59.3369637,49.2544518,39.160923,46.7269249
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020163224317_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-11 22:43:17 UTC,10963,009,0601,True,393903.0,17.1569118,185.2729797,"(17.1569118,185.2729797)",64.6737442,13.3552208,178.3619225,72.2823105,96.0247955,63.5076485,32.7143593,56.4536438
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020166152638_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-14 15:26:38 UTC,11005,007,0601,True,478153.0,42.8565178,154.9722748,"(42.8565178,154.9722748)",88.3059998,12.7010775,161.3173687,94.9308853,114.5547028,89.0636673,62.2248421,81.8481216
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020170135229_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-18 13:52:29 UTC,11066,008,0601,True,662825.0,11.9295912,233.1322937,"(11.9295912,233.1322937)",78.241684,27.5024757,756.3861717,94.6017609,148.8114624,72.0974884,11.9295912,58.4602509
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020171193357_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-19 19:33:57 UTC,11085,008,0601,True,216725.0,50.2667503,280.1108093,"(50.2667503,280.1108093)",121.1459351,32.6532555,1066.2350923,137.8902893,200.145462,118.157608,50.2667503,96.3857346
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020171193449_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-06-19 19:34:49 UTC,11085,009,0601,True,67.0,67.4365158,80.535408,"(67.4365158,80.535408)",73.180809,3.61446,13.064321,74.2167511,78.2457047,72.2635956,67.4365158,71.3956909
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020187131552_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-05 13:15:52 UTC,11329,010,0601,True,710618.0,13.4361734,193.5026245,"(13.4361734,193.5026245)",144.1621094,19.2630672,371.0657597,157.9166222,189.5598907,148.7514267,105.066925,136.7760506
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2020191114155_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2020-07-09 11:41:55 UTC,11390,009,0601,True,247236.0,4.6185141,167.9913025,"(4.6185141,167.9913025)",66.5322952,25.5099945,650.7598197,84.9252014,141.4111481,66.5495453,4.6185141,47.2532158
