File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020159174839_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-06-07 17:48:39 UTC,10898,006,0601,True,712303.0,0.0,8.0479794,"(0.0,8.0479794)",3.7436807,1.022751,1.0460196,4.2893419,6.0349932,3.5974474,1.3799428,3.1255295
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020160001753_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-06-08 00:17:53 UTC,10902,009,0601,True,678842.0,0.0,4.6106434,"(0.0,4.6106434)",0.4120544,0.6451402,0.4162059,0.7091056,1.7577628,0.01,0.0,0.01
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020160001845_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-06-08 00:18:45 UTC,10902,010,0601,True,45114.0,0.0,5.1344624,"(0.0,5.1344624)",0.6407143,0.8497282,0.722038,1.1264528,2.8006577,0.0931032,0.0,0.01
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020166152638_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-06-14 15:26:38 UTC,11005,007,0601,True,479531.0,0.0,7.411993,"(0.0,7.411993)",3.0888295,1.2408308,1.539661,3.8536811,6.0140753,3.1869333,0.2531916,2.4133346
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020170135229_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-06-18 13:52:29 UTC,11066,008,0601,True,665732.0,0.0,6.5766983,"(0.0,6.5766983)",3.4044878,0.9843925,0.9690285,4.0697026,5.9343104,3.4905366,0.9617326,2.8265039
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020171193357_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-06-19 19:33:57 UTC,11085,008,0601,True,216845.0,0.0,10.2899246,"(0.0,10.2899246)",5.4266586,1.3919622,1.9375587,6.3620162,9.2056589,5.3437886,1.611841,4.4617677
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020171193449_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-06-19 19:34:49 UTC,11085,009,0601,True,67.0,3.4618037,5.0589528,"(3.4618037,5.0589528)",4.2293901,0.3602402,0.129773,4.3612018,4.9026113,4.2311282,3.4618037,3.9696354
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020187131552_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-07-05 13:15:52 UTC,11329,010,0601,True,713424.0,0.0,6.7839193,"(0.0,6.7839193)",4.6206036,0.7847836,0.6158853,5.1046491,6.3396778,4.7269831,3.0462627,4.2812314
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020191114155_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-07-09 11:41:55 UTC,11390,009,0601,True,184761.0,0.0,16.6633682,"(0.0,16.6633682)",4.8606439,2.1475956,4.6121671,5.7308574,8.6732092,4.7634077,0.8247858,3.7683158
ECO3ETALEXI_001_EVAPOTRANSPIRATION_ALEXI_ETdaily_doy2020194105556_aid0001,EVAPOTRANSPIRATION_ALEXI_ETdaily,aid0001,2020-07-12 10:55:56 UTC,11436,012,0601,True,663.0,0.01,29.4523716,"(0.01,29.4523716)",12.7924824,5.7251253,32.7770598,17.1161366,27.9444427,13.8630476,0.01,8.937007
