File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,4,5
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021087_aid0001,aid0001,2021-03-28 21:35:49+00:00,15459,008,0601,True,712712,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021091_aid0001,aid0001,2021-04-01 20:02:57+00:00,15520,008,0601,True,708776,,8.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021095_aid0001,aid0001,2021-04-05 18:30:42+00:00,15581,008,0601,True,709862,,8.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021099_aid0001,aid0001,2021-04-09 16:58:05+00:00,15643,008,0601,True,709695,,3.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021103_aid0001,aid0001,2021-04-13 15:25:35+00:00,15704,008,0601,True,707374,,9.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021103_aid0001,aid0001,2021-04-13 21:55:19+00:00,15708,008,0601,True,691361,,11.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021104_aid0001,aid0001,2021-04-14 14:37:53+00:00,15719,007,0601,True,53328,1098.0,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021104_aid0001,aid0001,2021-04-14 21:08:01+00:00,15723,008,0601,True,711259,,8.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021107_aid0001,aid0001,2021-04-17 13:53:11+00:00,15765,008,0601,True,712000,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021108_aid0001,aid0001,2021-04-18 13:05:18+00:00,15780,007,0601,True,111535,641.0,2.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021108_aid0001,aid0001,2021-04-18 13:06:10+00:00,15780,008,0601,True,60545,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021115_aid0001,aid0001,2021-04-25 17:17:45+00:00,15891,007,0601,True,248194,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021142_aid0001,aid0001,2021-05-22 23:57:47+00:00,16316,008,0601,True,711640,,7.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021143_aid0001,aid0001,2021-05-23 23:10:28+00:00,16331,007,0601,True,710980,16.0,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021146_aid0001,aid0001,2021-05-26 22:24:55+00:00,16377,009,0601,True,707316,,4.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021147_aid0001,aid0001,2021-05-27 21:37:01+00:00,16392,009,0601,True,321337,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021147_aid0001,aid0001,2021-05-27 21:37:53+00:00,16392,010,0601,True,440642,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021159_aid0001,aid0001,2021-06-08 16:59:00+00:00,16576,007,0601,True,712000,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021159_aid0001,aid0001,2021-06-08 23:28:46+00:00,16580,007,0601,True,611302,765.0,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021159_aid0001,aid0001,2021-06-08 23:29:38+00:00,16580,008,0601,True,117467,8155.0,,1.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021170_aid0001,aid0001,2021-06-19 13:07:59+00:00,16745,008,0601,True,652645,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021174_aid0001,aid0001,2021-06-23 11:35:00+00:00,16806,006,0601,True,610240,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021175_aid0001,aid0001,2021-06-24 10:47:52+00:00,16821,008,0601,True,233464,475771.0,,7.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021187_aid0001,aid0001,2021-07-06 12:41:40+00:00,17008,008,0601,True,708947,,5.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021234_aid0001,aid0001,2021-08-22 11:43:10+00:00,17739,005,0601,True,678442,31653.0,5.0,2.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021234_aid0001,aid0001,2021-08-22 18:13:09+00:00,17743,010,0601,True,325451,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021235_aid0001,aid0001,2021-08-23 17:26:07+00:00,17758,007,0601,True,712556,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021239_aid0001,aid0001,2021-08-27 15:55:12+00:00,17819,008,0601,True,708886,,8.0,
