File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,4,5
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021243_aid0001,aid0001,2021-08-31 14:23:58+00:00,17881,008,0601,True,705433,6113.0,5.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021247_aid0001,aid0001,2021-09-04 12:52:34+00:00,17942,008,0601,True,713424,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021282_aid0001,aid0001,2021-10-09 16:37:11+00:00,18487,008,0601,True,708994,,120.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021282_aid0001,aid0001,2021-10-09 23:07:23+00:00,18491,009,0601,True,711688,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021283_aid0001,aid0001,2021-10-10 15:49:55+00:00,18502,008,0601,True,12476,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021283_aid0001,aid0001,2021-10-10 22:20:11+00:00,18506,010,0601,True,701391,6821.0,268.0,2.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021286_aid0001,aid0001,2021-10-13 15:04:51+00:00,18549,010,0601,True,712712,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021286_aid0001,aid0001,2021-10-13 21:35:01+00:00,18553,009,0601,True,640307,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021287_aid0001,aid0001,2021-10-14 14:18:14+00:00,18564,008,0601,True,121092,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021290_aid0001,aid0001,2021-10-17 13:32:43+00:00,18610,009,0601,True,385464,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021290_aid0001,aid0001,2021-10-17 13:33:35+00:00,18610,010,0601,True,368252,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021295_aid0001,aid0001,2021-10-22 17:44:04+00:00,18690,008,0601,True,713424,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021299_aid0001,aid0001,2021-10-26 16:11:53+00:00,18752,008,0601,True,712478,,70.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2021358_aid0001,aid0001,2021-12-24 17:06:36+00:00,19667,008,0601,True,713424,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022031_aid0001,aid0001,2022-01-31 19:27:59+00:00,20258,007,0601,True,658990,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022085_aid0001,aid0001,2022-03-26 21:59:56+00:00,21098,009,0601,True,4857,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022100_aid0001,aid0001,2022-04-10 16:24:53+00:00,21327,008,0601,True,525125,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022108_aid0001,aid0001,2022-04-18 19:40:10+00:00,21453,008,0601,True,92420,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022109_aid0001,aid0001,2022-04-19 12:22:23+00:00,21464,005,0601,True,220620,198660.0,,193.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022109_aid0001,aid0001,2022-04-19 18:51:46+00:00,21468,008,0601,True,713098,,26.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022112_aid0001,aid0001,2022-04-22 18:02:56+00:00,21514,009,0601,True,707163,,2.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022113_aid0001,aid0001,2022-04-23 17:14:32+00:00,21529,008,0601,True,712646,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022121_aid0001,aid0001,2022-05-01 14:03:04+00:00,21652,008,0601,True,604598,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022143_aid0001,aid0001,2022-05-23 22:44:57+00:00,21999,008,0601,True,644355,27446.0,156.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022146_aid0001,aid0001,2022-05-26 21:58:11+00:00,22045,010,0601,True,709590,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022147_aid0001,aid0001,2022-05-27 21:10:04+00:00,22060,009,0601,True,296332,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022154_aid0001,aid0001,2022-06-03 18:45:45+00:00,22167,008,0601,True,702550,5738.0,16.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022162_aid0001,aid0001,2022-06-11 15:33:15+00:00,22290,010,0601,True,708656,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022166_aid0001,aid0001,2022-06-15 13:55:58+00:00,22351,007,0601,True,314818,,111.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022166_aid0001,aid0001,2022-06-15 13:56:50+00:00,22351,008,0601,True,437304,,124.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022166_aid0001,aid0001,2022-06-15 20:26:14+00:00,22355,008,0601,True,712682,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022169_aid0001,aid0001,2022-06-18 13:08:14+00:00,22397,007,0601,True,627751,20242.0,257.0,26.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022170_aid0001,aid0001,2022-06-19 12:20:43+00:00,22412,008,0601,True,17130,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022170_aid0001,aid0001,2022-06-19 18:49:57+00:00,22416,008,0601,True,707901,,347.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022174_aid0001,aid0001,2022-06-23 17:13:55+00:00,22477,008,0601,True,708686,,201.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022181_aid0001,aid0001,2022-06-30 14:50:12+00:00,22584,011,0601,True,213869,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022200_aid0001,aid0001,2022-07-19 01:06:43+00:00,22871,008,0601,True,23905,43216.0,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022204_aid0001,aid0001,2022-07-23 22:41:27+00:00,22947,008,0601,True,711000,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022207_aid0001,aid0001,2022-07-26 21:52:54+00:00,22993,008,0601,True,473026,238618.0,47.0,70.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022208_aid0001,aid0001,2022-07-27 21:03:52+00:00,23008,008,0601,True,185,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022211_aid0001,aid0001,2022-07-30 20:14:59+00:00,23054,009,0601,True,805,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022212_aid0001,aid0001,2022-07-31 19:27:14+00:00,23069,009,0601,True,169505,,29.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022217_aid0001,aid0001,2022-08-05 00:19:07+00:00,23134,009,0601,True,710057,,3.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022220_aid0001,aid0001,2022-08-08 22:41:32+00:00,23195,010,0601,True,265887,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022226_aid0001,aid0001,2022-08-14 14:33:18+00:00,23284,007,0601,True,86068,,3.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022226_aid0001,aid0001,2022-08-14 14:34:10+00:00,23284,008,0601,True,373611,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022230_aid0001,aid0001,2022-08-18 12:56:25+00:00,23346,009,0601,True,708403,,11.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022231_aid0001,aid0001,2022-08-19 18:37:19+00:00,23365,008,0601,True,712530,,3.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022234_aid0001,aid0001,2022-08-22 11:18:42+00:00,23407,008,0601,True,710962,,59.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022234_aid0001,aid0001,2022-08-22 17:48:08+00:00,23411,009,0601,True,146633,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022242_aid0001,aid0001,2022-08-30 14:34:06+00:00,23534,009,0601,True,708126,,157.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022243_aid0001,aid0001,2022-08-31 13:45:51+00:00,23549,008,0601,True,702401,,151.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022279_aid0001,aid0001,2022-10-06 17:29:24+00:00,24112,007,0601,True,665717,,173.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022279_aid0001,aid0001,2022-10-06 17:30:16+00:00,24112,008,0601,True,2846,,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2022280_aid0001,aid0001,2022-10-07 23:11:23+00:00,24131,009,0601,True,712712,,,
